,Listado de productos Bioequivalentes actualizado al 27 de Octubre de 2015,,,,,,
28,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,IBU-6 COMPRIMIDOS RECUBIERTOS 600 mg,F-20148,LABORATORIOS ANDRÓMACO S.A.
29,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-19797,LABORATORIOS ANDRÓMACO S.A.
30,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg,F-19796,LABORATORIOS ANDRÓMACO S.A.
31,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,IBU-2 COMPRIMIDOS RECUBIERTOS 200 mg,F-20227,LABORATORIOS ANDRÓMACO S.A.
32,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,IBU-4 COMPRIMIDOS RECUBIERTOS 400 mg,F-20401,LABORATORIOS ANDRÓMACO S.A.
33,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,IBUCON COMPRIMIDOS RECUBIERTOS 600 mg,F-16989,LABORATORIOS EUROMED CHILE S.A.
34,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,DEUCODOL COMPRIMIDOS RECUBIERTOS 600 mg,F-20011,MEDIPHARM LTDA.
35,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,DEUCODOL COMPRIMIDOS RECUBIERTOS 400 mg,F-20046,MEDIPHARM LTDA.
36,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,PYRIPED CÁPSULAS BLANDAS 400 mg,F-18548,MINTLAB CO. S.A.
37,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-19511,MINTLAB CO. S.A.
38,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,PYRIPED FORTE COMPRIMIDOS RECUBIERTOS 600 mg,F-10176,MINTLAB Co. S.A.
39,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-2050,MINTLAB Co. S.A.
40,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-7636,OPKO CHILE S.A.
41,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-7638,OPKO CHILE S.A.
42,Analgésico / Antiinflamatorio,IBUPROFENO, 1.- Nurofen 2.- Brufen , 1.- Reckitt Benckiser 2.- Abbott Laboratories ,NUROFEN EXPRESS CÁPSULAS BLANDAS 200 mg,F-18543,RECKITT BENCKISER CHILE S.A.
43,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,KETOPROFENO CÁPSULAS 50 mg,F-16049,LABORATORIO CHILE S.A.
44,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,FLOGOFIN CÁPSULAS 50 mg,F-8406,LABORATORIO CHILE S.A.
45,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,KEPRODOL CÁPSULAS 50 mg,F-15298,LABORATORIOS ANDRÓMACO S.A.
46,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,KETOPROFENO CÁPSULAS 50 mg,F-14024,LABORATORIOS ANDRÓMACO S.A.
47,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,DOLOFAR CÁPSULAS 50 mg,F-7160,MEDIPHARM LTDA.
48,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,KETOPROFENO CÁPSULAS 50 mg,F-9897,MINTLAB CO. S.A.
49,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,RELATENE CÁPSULAS 50 mg,F-6931,MINTLAB Co. S.A.
50,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,MELODOL COMPRIMIDOS 15 mg,F-21269,LABORATORIOS RAFFO S.A.
51,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,MELODOL COMPRIMIDOS 7.5 mg (MELOXICAM) ,F-21436,LABORATORIOS RAFFO S.A.
52,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,TENARON COMPRIMIDOS 15 mg,F-855,PHARMA INVESTI DE CHILE S.A.
53,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer,EUROGESIC ADULTO FORTE COMPRIMIDOS RECUBIERTOS 550 mg,F-9785,EUROLAB LTDA.
54,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer,EUROGESIC ADULTO COMPRIMIDOS RECUBIERTOS 275 mg,F-9784,EUROLAB LTDA.
55,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer,NAPROXENO SÓDICO COMPRIMIDOS RECUBIERTOS 550 mg,F-13868,LABORATORIOS ANDRÓMACO S.A.
56,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer,TRIOX N.F. FORTE COMPRIMIDOS RECUBIERTOS 550 mg,F-10175,LABORATORIOS ANDRÓMACO S.A.
57,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer,ÁCIDO ACETIL SALICÍLICO COMPRIMIDOS 500 mg,F-6844,MINTLAB CO. S.A.
58,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer,HASSAPIRIN COMPRIMIDOS 500 mg.,F-6909,MINTLAB CO. S.A.
59,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer,HASSAPIRIN INFANTIL COMPRIMIDOS 100 mg,F-1984,MINTLAB CO. S.A.
60,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer,ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 100 mg,F-1444,MINTLAB CO. S.A.
61,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,FOCUS 500 COMPRIMIDOS 500 mg,F-18281,BAYER S.A.
62,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PANAGESIC COMPRIMIDOS 500 mg,F-3399,CHEMOPHARMA S.A.
63,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-4001,LABORATORIO CHILE S.A.
64,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,KITADOL COMPRIMIDOS 500 mg,F-494,LABORATORIO CHILE S.A.
65,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-17618,LABORATORIO MAVER S.A.
66,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,TAPSIN PURO SIN CAFEÍNA COMPRIMIDOS 500 mg,F-16129,LABORATORIO MAVER S.A.
67,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-22074,LABORATORIO MAVER S.A.
68,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,TAPSIN PURO SIN CAFEÍNA COMPRIMIDOS 500 mg,F-22075,LABORATORIO MAVER S.A.
69,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,SINFLU COMPRIMIDOS 500 mg,F-11672,LABORATORIO VALMA S.A.
70,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,HEADOL COMPRIMIDOS 500 mg,F-15246,LABORATORIOS MDK S.A.
71,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-8660,LABORATORIOS ANDRÓMACO S.A.
72,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,COTIBIN COMPRIMIDOS 500 mg,F-2634,LABORATORIOS ANDRÓMACO S.A.
73,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,GESIDOL COMPRIMIDOS 500 mg,F-19506,MEDIPHARM LTDA.
74,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,GENIOL COMPRIMIDOS 500 mg,F-6908,MINTLAB CO. S.A.
75,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-154,MINTLAB Co. S.A.
76,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-20020,OPKO CHILE S.A.
77,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,IMITIMOL COMPRIMIDOS 1 g,F-21854,PHARMA INVESTI DE CHILE S.A.
78,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,SUPRACALM COMPRIMIDOS 1 g,F-7782,TECNOFARMA S.A.
79,Ansiedad,ALPRAZOLAM,Zotran,Pfizer, TRANQUINAL COMPRIMIDOS 0.5 mg ,F-9663,LABORATORIO BAGÓ DE CHILE S.A.
80,Ansiedad,ALPRAZOLAM,Zotran,Pfizer, ALPRAZOLAM COMPRIMIDOS 0.5 mg ,F-6506,LABORATORIOS ANDRÓMACO S.A.
81,Ansiedad,ALPRAZOLAM,Zotran,Pfizer,ADAX COMPRIMIDOS 1 mg,F-5509,LABORATORIOS SAVAL S.A.
82,Ansiedad,ALPRAZOLAM,Zotran,Pfizer, ADAX COMPRIMIDOS 0,5 mg ,F-5511,LABORATORIOS SAVAL S.A.
83,Ansiedad,ALPRAZOLAM,Zotran,Pfizer, ALPRAZOLAM COMPRIMIDOS 0,25 mg ,F-9867,MINTLAB CO. S.A.
84,Ansiedad,ALPRAZOLAM,Zotran,Pfizer, ALPRAZOLAM COMPRIMIDOS 0,5 mg ,F-9868,MINTLAB CO. S.A.
85,Ansiedad,CLONAZEPAM,Ravotril,Roche, CLOZANIL COMPRIMIDOS 0,5 mg ,F-504,INSTITUTO SANITAS S.A.
86,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLOZANIL COMPRIMIDOS 2 mg,F-505,INSTITUTO SANITAS S.A.
87,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLONAZEPAM COMPRIMIDOS 0.5 mg,F-15579,INTERPHARMA S.A.
88,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLONAZEPAM COMPRIMIDOS 2 mg,F-15580,INTERPHARMA S.A.
89,Ansiedad,CLONAZEPAM,Ravotril,Roche, NEURYL COMPRIMIDOS 0,5 mg ,F-17409,LABORATORIO BAGÓ DE CHILE S.A.
90,Ansiedad,CLONAZEPAM,Ravotril,Roche,NEURYL COMPRIMIDOS 2 mg,F-17410,LABORATORIO BAGÓ DE CHILE S.A.
91,Ansiedad,CLONAZEPAM,Ravotril,Roche,NEURYL COMPRIMIDOS 2 mg,F-20004,LABORATORIO BAGÓ DE CHILE S.A.
92,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLONAZEPAM COMPRIMIDOS 2 mg,F-13247,LABORATORIO CHILE S.A.
93,Ansiedad,CLONAZEPAM,Ravotril,Roche, CLONAZEPAM COMPRIMIDOS 0,5 mg ,F-13246,LABORATORIO CHILE S.A.
94,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLONAPAM COMPRIMIDOS 2 mg,F-8374,LABORATORIO CHILE S.A.
95,Ansiedad,CLONAZEPAM,Ravotril,Roche, CLONAPAM COMPRIMIDOS 0,5 mg ,F-8373,LABORATORIO CHILE S.A.
96,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLONAZEPAM COMPRIMIDOS 2 mg,F-13557,MINTLAB CO. S.A.
97,Ansiedad,CLONAZEPAM,Ravotril,Roche,HISTROL COMPRIMIDOS 2 mg,F-13559,MINTLAB CO. S.A.
98,Ansiedad,CLONAZEPAM,Ravotril,Roche, HISTROL COMPRIMIDOS 0,5 mg ,F-13558,MINTLAB CO. S.A.
99,Ansiedad,CLONAZEPAM,Ravotril,Roche, CLONAZEPAM COMPRIMIDOS 0,5 mg ,F-13556,MINTLAB CO. S.A.
100,Ansiedad,CLONAZEPAM,Ravotril,Roche, BEJOWA COMPRIMIDOS 0,5 mg ,F-20240,SANOFI-AVENTIS DE CHILE S.A.
101,Ansiedad,CLONAZEPAM,Ravotril,Roche,BEJOWA COMPRIMIDOS 2 mg,F-20239,SANOFI-AVENTIS DE CHILE S.A.
102,Ansiedad,CLONAZEPAM,Ravotril,Roche, BEJOWA COMPRIMIDOS 0,5 mg ,F-20241,SANOFI-AVENTIS DE CHILE S.A.
103,Ansiedad,CLONAZEPAM,Ravotril,Roche,BEJOWA COMPRIMIDOS 2 mg,F-20242,SANOFI-AVENTIS DE CHILE S.A.
104,Ansiedad,DIAZEPAM,Valium,Roche,DIAZEPAM COMPRIMIDOS 10 mg,F-3374,MINTLAB CO. S.A.
105,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,CLOPIDOGREL COMPRIMIDOS RECUBIERTOS 300 MG,F-21739,ASCEND LABORATORIES SpA
106,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,LYVELSA COMPRIMIDOS RECUBIERTOS 75 mg (CLOPIDOGREL),F-21565,BAYER S.A.
107,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,PICLOKARE COMPRIMIDOS RECUBIERTOS 75 mg,F-17986,ETEX FARMACÉUTICA LTDA.
108,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,CLOPIVITAE COMPRIMIDOS RECUBIERTOS 75mg,F-22129,GALENICUM HEALTH CHILE S.p.A.
109,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,CLOTROMBIX COMPRIMIDOS RECUBIERTOS 75 mg,F-19113,NOVARTIS CHILE S.A.
110,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,FLUYET COMPRIMIDOS RECUBIERTOS 75 mg,F-20812,PHARMAVITA S.A.
111,Antiagregante plaquetario / Vasodilatador,CILOSTAZOL,Pletaal,Johnson & Johnson,CILOSVITAE COMPRIMIDOS 100 mg,F-21312,GALENICUM HEALTH CHILE S.p.A.
112,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,REMITEX COMPRIMIDOS RECUBIERTOS 10 mg,F-9692,LABORATORIO BAGÓ DE CHILE S.A.
113,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,ALERTOP COMPRIMIDOS RECUBIERTOS 10 mg,F-7193,LABORATORIO CHILE S.A.
114,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS 10 mg,F-13749,LABORATORIO CHILE S.A.
115,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,FINDALER COMPRIMIDOS RECUBIERTOS 10 mg (Cetirizina),F-21819,MEDIPHARM LTDA.
116,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS 10 mg,F-10073,MINTLAB CO. S.A.
117,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,COOLIPS COMPRIMIDOS RECUBIERTOS 10 mg,F-10074,MINTLAB CO. S.A.
118,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,SIXACINA COMPRIMIDOS RECUBIERTOS 10 mg,F-15667,SYNTHON CHILE LTDA.
119,Antialérgico,CETIRIZINA,Zyrtec,Glaxosmithkline,CETIRIZINA DICLORHIDRATO COMPRIMIDOS RECUBIERTOS 10 mg,F-7212,SYNTHON CHILE LTDA.
120,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-3901,LABORATORIO CHILE S.A.
121,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-2310,LABORATORIO MAVER S.A.
122,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,PRODEL COMPRIMIDOS 4 mg,F-1209,LABORATORIO PASTEUR S.A.
123,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-11601,LABORATORIO PASTEUR S.A.
124,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,HISTAFED COMPRIMIDOS 4 mg,F-15502,LABORATORIOS MDK S.A.
125,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS RECUBIERTOS 4 mg,F-14519,LABORATORIOS ANDRÓMACO S.A.
126,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,SCADAN COMPRIMIDOS 4 mg,F-7764,MEDIPHARM LTDA.
127,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-6877,MINTLAB CO. S.A.
128,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,NIPOLEN COMPRIMIDOS 4 mg,F-13441,MINTLAB CO. S.A.
129,Antialérgico,CLORFENAMINA,Clorprimeton,Schering Plough,CLORFENAMINA MALEATO COMPRIMIDOS 4 mg,F-9495,SYNTHON CHILE LTDA.
130,Antialérgico,DESLORATADINA,Aerius,Schering Plough,D-HISTAPLUS,F-15444,LABORATORIO PASTEUR S.A.
131,Antialérgico,DESLORATADINA,Aerius,Schering Plough,NEOLARMAX COMPRIMIDOS RECUBIERTOS 5 mg,F-14617,LABORATORIOS ANDRÓMACO S.A.
132,Antialérgico,DESLORATADINA,Aerius,Schering Plough,NEO-ALLEDRYL COMPRIMIDOS RECUBIERTOS 5 mg,F-16473,LABORATORIOS PRATER S.A.
133,Antialérgico,DESLORATADINA,Aerius,Schering Plough,NEOCLARITINE COMPRIMIDOS RECUBIERTOS 5 mg,F-7110,MERCK SHARP & DOHME CHILE LTDA.
134,Antialérgico,FEXOFENADINA,Allegra,Sanofi-Aventis,ALEXIA COMPRIMIDOS RECUBIERTOS 120 mg,F-2106,LABORATORIOS SAVAL S.A.
135,Antialérgico,LEVOCETIRIZINA,Xuzal,Glaxosmithkline,DEGRALER COMPRIMIDOS RECUBIERTOS 5 mg,F-14173,LABORATORIO BAGÓ DE CHILE S.A.
136,Antialérgico,LEVOCETIRIZINA,Xuzal,Glaxosmithkline,LEVORIGOTAX COMPRIMIDOS RECUBIERTOS 5 mg,F-18332,LABORATORIOS PRATER S.A.
137,Antialérgico,LEVOCETIRIZINA,Xuzal,Glaxosmithkline,ZIVAL COMPRIMIDOS RECUBIERTOS 5 mg,F-16944,LABORATORIOS SAVAL S.A.
138,Antialérgico,LORATADINA,Clarityne,Merck Sharp & Dohme,LORATADINA COMPRIMIDOS 10 mg,F-8455,LABORATORIO CHILE S.A.
139,Antialérgico,LORATADINA,Clarityne,Merck Sharp & Dohme,LORATADINA COMPRIMIDOS 10 mg,F-16767,OPKO CHILE S.A.
140,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme,LUCASTE COMPRIMIDOS MASTICABLES 5 mg,F-20589,LABORATORIOS EUROMED CHILE S.A.
141,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme,LUCASTE COMPRIMIDOS MASTICABLES 4 mg,F-20588,LABORATORIOS EUROMED CHILE S.A.
142,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme,BRONDILAT COMPRIMIDOS RECUBIERTOS 10 mg,F-13368,LABORATORIOS RECALCINE S.A.
143,Antialérgico - Antiasmático,MONTELUKAST,Singulair,Merck Sharp & Dohme,MONTELUKAST COMPRIMIDOS RECUBIERTOS 10 mg,F-22140,NOVARTIS CHILE S.A.
144,Antiarrítmico,DIGOXINA,Digoxina,Laboratorio Chile, DIGOXINA COMPRIMIDOS 0,25 mg ,F-8247,SYNTHON CHILE LTDA.
145,Antibiótico,AMOXICILINA,Amoxil BD,Glaxosmithkline,AMOXICILINA COMPRIMIDOS RECUBIERTOS 875 mg,F-21138,LABORATORIOS EUROMED CHILE S.A.
