,,"Listado de productos Bioequivalentes, actualizado al 21 de Agosto de 2015",,,,,
"39","LAMIVUDINA","LAMIVUDINA COMPRIMIDOS RECUBIERTOS 150 mg","F‐18962","LABORATORIOS ANDRÓMACO S.A.","CERTIFICADO N° 1517","29‐12‐2011","tratamiento de VIH/SIDA"
"40","PREDNISONA","PREDNISONA COMPRIMIDOS 5 mg","F‐3376","MINTLAB Co. S.A.","RESOLUCIÓN N° 69","12‐01‐2012","Corticoterapia"
"41","CLORFENAMINA","CLORFENAMINA MALEATO COMPRIMIDOS 4 mg","F‐6877","MINTLAB  CO. S.A.","RESOLUCIÓN N° 70","12‐01‐2012","Antialérgico"
"42","CLORFENAMINA","NIPOLEN COMPRIMIDOS 4 mg","F‐13441","MINTLAB  CO. S.A.","RESOLUCIÓN N° 71","12‐01‐2012","Antialérgico"
"43","ZIDOVUDINA","ZIDOVUDINA COMPRIMIDOS RECUBIERTOS 300 mg","F‐19083","MASTER CARE S.A.","CERTIFICADO N° 52","13‐01‐2012","tratamiento de VIH/SIDA"
"44","NEVIRAPINA","NEVAVIR COMPRIMIDOS 200 mg","F‐19085","MASTER CARE S.A.","CERTIFICADO N° 53","13‐01‐2012","tratamiento de VIH/SIDA"
"45","NEVIRAPINA","NEVIRAPINA COMPRIMIDOS 200 mg","F‐19080","MASTER CARE S.A.","CERTIFICADO N° 54","13‐01‐2012","tratamiento de VIH/SIDA"
"46","LAMIVUDINA","XIMAVIR COMPRIMIDOS RECUBIERTOS 150 mg","F‐18963","MASTER CARE S.A.","CERTIFICADO N° 55","13‐01‐2012","tratamiento de VIH/SIDA"
"47","LAMIVUDINA + ZIDOVUDINA","MAXIVIR COMPRIMIDOS RECUBIERTOS","F‐18966","MASTER CARE S.A.","CERTIFICADO N° 56","13‐01‐2012","tratamiento de VIH/SIDA"
"48","LAMIVUDINA","LAMIVUDINA COMPRIMIDOS RECUBIERTOS 150 mg","F‐19082","MASTER CARE S.A.","CERTIFICADO N° 57","13‐01‐2012","tratamiento de VIH/SIDA"
"49","ZIDOVUDINA","AZAVIRAL COMPRIMIDOS RECUBIERTOS 300 mg","F‐19084","MASTER CARE S.A.","CERTIFICADO N° 58","13‐01‐2012","tratamiento de VIH/SIDA"
"50","LAMIVUDINA + ZIDOVUDINA","BIVIR COMPRIMIDOS RECUBIERTOS","F‐19081","LABORATORIOS ANDRÓMACO S.A.","CERTIFICADO N° 59","13‐01‐2012","tratamiento de VIH/SIDA"
"51","CLORFENAMINA","CLORFENAMINA MALEATO COMPRIMIDOS 4 mg","F‐2310","LABORATORIO MAVER S.A.","RESOLUCIÓN N°  103","13‐01‐2012","Antialérgico"
"52","TACROLIMÚS","CIDIMUS CÁPSULAS 0,5 mg","F‐19209","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 991","18‐01‐2012","Trasplante de órganos"
"53","TACROLIMÚS","CIDIMUS CÁPSULAS 5,0 mg","F‐19210","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 998","18‐01‐2012","Trasplante de órganos"
"54","PREDNISONA","PREDNISONA COMPRIMIDOS 5 mg","F‐1400","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 408","08‐02‐2012","Corticoterapia"
"55","ZIDOVUDINA","ZIDOVUDINA COMPRIMIDOS RECUBIERTOS 300 mg","F‐19060","LABORATORIOS ANDRÓMACO S.A.","CERTIFICADO N° 217","21‐02‐2012","tratamiento de VIH/SIDA"
"56","MICOFENOLATO MOFETILO","LAMUCON COMPRIMIDOS RECUBIERTOS 500 mg","F‐19321","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 5285","22‐03‐2012","Trasplante de órganos"
"57","MICOFENOLATO MOFETILO","LAMUCON CÁPSULAS 250 mg","F‐19323","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 5366","23‐03‐2012","Trasplante de órganos"
"58","RISPERIDONA","RISPYL COMPRIMIDOS RECUBIERTOS 2 mg","F‐18839","AXON PHARMA SPA.","RESOLUCIÓN N° 830","28‐03‐2012","Trastornos mentales"
"59","RISPERIDONA","RISPYL COMPRIMIDOS RECUBIERTOS 1 mg","F‐18894","AXON PHARMA SPA.","RESOLUCIÓN N° 831","28‐03‐2012","Trastornos mentales"
"60","MICOFENOLATO MOFETILO","SUPRIMUN CÁPSULAS 250 mg","F‐15309","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 1042","18‐04‐2012","Trasplante de órganos"
"61","CLORFENAMINA","CLORFENAMINA MALEATO COMPRIMIDOS 4 mg","F‐9495","SYNTHON CHILE LTDA.","RESOLUCIÓN N° 1106","30‐04‐2012","Antialérgico"
"62","RISPERIDONA","RISPYL COMPRIMIDOS RECUBIERTOS 3 mg","F‐18840","AXON PHARMA SPA.","RESOLUCIÓN N° 1134","03‐05‐2012","Trastornos mentales"
"63","TACROLIMÚS","CIDIMUS CÁPSULAS 1,0 mg","F‐19410","NOVARTIS CHILE S.A.","RESOLUCIÓN N° 8456","09‐05‐2012","Trasplante de órganos"
"64","PREGABALINA","PREGALEX COMPRIMIDOS 150 mg","F‐16184","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1272","23‐05‐2012","Antiepiléptico ‐ Dolores neurálgicos"
"65","PREGABALINA","PREGALEX COMPRIMIDOS 75 mg.","F‐16183","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 1273","23‐05‐2012","Antiepiléptico ‐ Dolores neurálgicos"
"66","CLORFENAMINA","SCADAN COMPRIMIDOS 4 mg","F‐7764","MEDIPHARM LTDA.","RESOLUCIÓN N° 1461","12‐06‐2012","Antialérgico"
"67","METFORMINA CLORHIDRATO","ANDIBET COMPRIMIDOS RECUBIERTOS 850 mg","F‐12065","CHEMOPHARMA S.A.","RESOLUCIÓN N° 1521","18‐06‐2012","Tratamiento de Diabetes Mellitus"
"68","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg","F‐12064","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 1522","18‐06‐2012","Tratamiento de Diabetes Mellitus"
"69","LOSARTÁN","CORSALUX COMPRIMIDOS RECUBIERTOS 50 mg","F‐19513","NOVARTIS CHILE S.A.","RESOLUCIÓN RW 13588","09‐07‐2012","Hipertensión arterial"
"70","PAROXETINA","DRIMPAX COMPRIMIDOS RECUBIERTOS 20 mg","F‐18001","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 1774","12‐07‐2012","Antidepresivo"
"71","CLOPIDOGREL","PICLOKARE COMPRIMIDOS RECUBIERTOS 75 mg","F‐17986","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 1993","06‐08‐2012","Antiagregante plaquetario"
"72","EXEMESTANO","NODUTAX COMPRIMIDOS RECUBIERTOS 25 mg","F‐18640","SYNTHON  CHILE LTDA.","RESOLUCIÓN N° 1994","06‐08‐2012","Cáncer de mama"
"73","BICALUTAMIDA","BICALUTAMIDA COMPRIMIDOS RECUBIERTOS 50 mg","F‐18561","FRESENIUS KABI CHILE LTDA.","RESOLUCIÓN N° 2156","22‐08‐2012","Cáncer de próstata"
"74","LETROZOL","LETROZOL COMPRIMIDOS RECUBIERTOS 2,5 mg","F‐18699","FRESENIUS KABI CHILE LTDA.","RESOLUCIÓN N° 2168","23‐08‐2012","Cáncer de mama"
"75","METFORMINA CLORHIDRATO","OXEMET COMPRIMIDOS RECUBIERTOS 500 mg","F‐15992","GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.","RESOLUCIÓN N° 2264","27‐08‐2012","Tratamiento de Diabetes Mellitus"
"76","METFORMINA CLORHIDRATO","OXEMET COMPRIMIDOS RECUBIERTOS 850 mg","F‐15990","GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.","RESOLUCIÓN N° 2265","27‐08‐2012","Tratamiento de Diabetes Mellitus"
"77","ANASTROZOL","ANASTROZOL COMPRIMIDOS RECUBIERTOS 1 mg","F‐19105","FRESENIUS KABI CHILE LTDA.","RESOLUCIÓN N° 2201","28‐08‐2012","Cáncer de mama"
"78","CLONAZEPAM","CLOZANIL COMPRIMIDOS 0,5 mg","F‐504","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 2537","25‐09‐2012","Ansiedad"
"79","ATORVASTATINA","LOWDEN COMPRIMIDOS RECUBIERTOS 40 mg","F‐13954","EUROLAB LTDA.","RESOLUCIÓN N° 2557","28‐09‐2012","Disminución del colesterol"
"80","CLONAZEPAM","CLOZANIL COMPRIMIDOS 2 mg","F‐505","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 2582","02‐10‐2012","Ansiedad"
"81","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐17455","OPKO CHILE S.A.","RESOLUCIÓN N° 2748","22‐10‐2012","Hipertensión arterial"
"82","ATORVASTATINA","LIPOX COMPRIMIDOS RECUBIERTOS 80 mg","F‐19642","LABORATORIO CHILE S.A.","RESOLUCIÓN  RW 21523","24‐10‐2012","Disminución del colesterol"
"83","ATORVASTATINA","LIPOX COMPRIMIDOS RECUBIERTOS 10 mg","F‐19639","LABORATORIO CHILE S.A.","RESOLUCIÓN RW 21518","24‐10‐2012","Disminución del colesterol"
"84","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 10 mg","F‐19646","LABORATORIO CHILE S.A.","RESOLUCIÓN RW 21519","24‐10‐2012","Disminución del colesterol"
"85","ATORVASTATINA","LIPOX COMPRIMIDOS RECUBIERTOS 20 mg","F‐19640","LABORATORIO CHILE S.A.","RESOLUCIÓN RW 21520","24‐10‐2012","Disminución del colesterol"
"86","ATORVASTATINA","LIPOX COMPRIMIDOS RECUBIERTOS 40 mg","F‐19641","LABORATORIO CHILE S.A.","RESOLUCIÓN RW 21522","24‐10‐2012","Disminución del colesterol"
"87","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 80 mg","F‐19645","LABORATORIO CHILE S.A.","RESOLUCIÓN RW 21526","24‐10‐2012","Disminución del colesterol"
"88","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 40 mg","F‐19644","LABORATORIO CHILE S.A.","RESOLUCIÓN RW 21530","24‐10‐2012","Disminución del colesterol"
"89","ATORVASTATINA","ATORVASTATINA COMPRIMIDOS RECUBIERTOS 20 mg","F‐19643","LABORATORIO CHILE S.A.","RESOLUCIÓN RW 21536","24‐10‐2012","Disminución del colesterol"
"90","TACROLIMÚS","T‐ INMUN CÁPSULAS 1 mg","F‐18949","LABORATORIOS RECALCINE S.A.","RESOLUCIÓN N° 2892","06‐11‐2012","Trasplante de órganos"
"91","CARBAMAZEPINA","CARBAMAZEPINA COMPRIMIDOS 200 mg","F‐3893","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 2992","15‐11‐2012","Antiepiléptico ‐ Estabilizador del estado de ánimo"
"92","MICOFENOLATO MOFETILO","LINFONEX COMPRIMIDOS RECUBIERTOS 500 mg","F‐13451","LABORATORIOS RECALCINE S.A.","RESOLUCIÓN N° 2993","15‐11‐2012","Trasplante de órganos"
"93","GLIBENCLAMIDA","GLIBENCLAMIDA COMPRIMIDOS 5 mg","F‐3947","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 2994","15‐11‐2012","Tratamiento de Diabetes Mellitus"
"94","PREDNISONA","CORTIPREX COMPRIMIDOS RECUBIERTOS 20 mg","F‐8381","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 3011","16‐11‐2012","Corticoterapia"
"95","CIPROFLOXACINO","CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐8360","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 3012","16‐11‐2012","Antibiótico"
"96","PREDNISONA","PREDNISONA COMPRIMIDOS 20 mg","F‐15757","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 3013","16‐11‐2012","Corticoterapia"
"97","PREDNISONA","PREDNISONA COMPRIMIDOS RECUBIERTOS 20 mg","F‐14411","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 3014","16‐11‐2012","Corticoterapia"
"98","CIPROFLOXACINO","GRIFOCIPROX COMPRIMIDOS RECUBIERTOS 500 mg","F‐8425","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 3015","16‐11‐2012","Antibiótico"
"99","LEVOTIROXINA","LEVOTIROXINA SÓDICA COMPRIMIDOS 100 mcg","F‐3979","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 3016","16‐11‐2012","Tratamiento de Hipotiroidismo"
"100","PREDNISONA","CORTIPREX COMPRIMIDOS 5 mg","F‐8382","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 3017","16‐11‐2012","Corticoterapia"
"101","METFORMINA CLORHIDRATO","HIPOGLUCIN COMPRIMIDOS RECUBIERTOS 850 mg","F‐8438","LABORATORIO CHILE S.A.","RESOLUCIÓN N° 3018","16‐11‐2012","Tratamiento de Diabetes Mellitus"
"102","CICLOSPORINA","SIGMASPORIN MICRORAL CÁPSULAS BLANDAS 100 mg","F‐15789","LIBRA CHILE S.A.","RESOLUCIÓN N° 3355","17‐12‐2012","Trasplante de órganos"
"103","AMLODIPINO","LOMAKARE COMPRIMIDOS 10 mg","F‐18378","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 3357","17‐12‐2012","Hipertensión arterial ‐ Angina de pecho"
"104","CIPROFLOXACINO","TIGINA COMPRIMIDOS RECUBIERTOS 500 mg","F‐18455","INTERPHARMA S.A.","RESOLUCIÓN N° 3359","18‐12‐2012","Antibiótico"
"105","QUETIAPINA","QUETKARE  COMPRIMIDOS RECUBIERTOS 25 mg","F‐18293","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 3361","18‐12‐2012","Trastornos mentales"
"106","ATORVASTATINA","ORVAKARE COMPRIMIDOS RECUBIERTOS 40 mg","F‐19731","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN RW N° 26269","26‐12‐2012","Disminución del colesterol"
"107","METFORMINA CLORHIDRATO","GLICENEX COMPRIMIDOS RECUBIERTOS 500 mg","F‐15406","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 48","07‐01‐2013","Tratamiento de Diabetes Mellitus"
"108","METFORMINA CLORHIDRATO","GLICENEX COMPRIMIDOS RECUBIERTOS 850 mg","F‐14047","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 50","08‐01‐2013","Tratamiento de Diabetes Mellitus"
"109","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg","F‐19734","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN RW N° 519","09‐01‐2013","Tratamiento de Diabetes Mellitus"
"110","EFAVIRENZ","EFAVIRENZ COMPRIMIDOS RECUBIERTOS 600 mg","F‐19736","MASTER CARE S.A.","RESOLUCIÓN RW N° 708","10‐01‐2013","tratamiento de VIH/SIDA"
"111","EFAVIRENZ","RIBOTEX COMPRIMIDOS RECUBIERTOS 600 mg","F‐19737","MASTER CARE S.A.","RESOLUCIÓN RW N° 712","10‐01‐2013","tratamiento de VIH/SIDA"
"112","METFORMINA CLORHIDRATO","GLIFORTEX COMPRIMIDOS RECUBIERTOS 850 mg","F‐18502","LABORATORIOS ANDRÓMACO S.A.","RESOLUCIÓN N° 102","11‐01‐2013","Tratamiento de Diabetes Mellitus"
"113","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg","F‐17314","LABORATORIOS  EUROMED CHILE S.A.","RESOLUCIÓN N° 103","11‐01‐2013","Tratamiento de Diabetes Mellitus"
"114","METFORMINA CLORHIDRATO","METFORMINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS
850 mg","F‐15133","OPKO CHILE S.A.","RESOLUCIÓN N° 118","15‐01‐2013","Tratamiento de Diabetes Mellitus"
"115","MICOFENOLATO MOFETILO","INMUFEN COMPRIMIDOS RECUBIERTOS 500 mg","F‐19749","ASCEND LABORATORIES SpA","RESOLUCIÓN RW N° 2420","31‐01‐2013","Trasplante de órganos"
"116","LOSARTÁN","LOSARTÁN POTÁSICO COMPRIMIDOS RECUBIERTOS 50 mg","F‐19752","MEDINOVA FARMA LTDA.","RESOLUCIÓN RW N° 2707","04‐02‐2013","Hipertensión arterial"
"117","LOSARTÁN","NOVSAR COMPRIMIDOS RECUBIERTOS 50 mg","F‐19753","MEDINOVA FARMA LTDA.","RESOLUCIÓN RW N° 2708","04‐02‐2013","Hipertensión arterial"
"118","METFORMINA CLORHIDRATO","GLIDANIL COMPRIMIDOS RECUBIERTOS 850 mg","F‐19751","MEDIPHARM LTDA.","RESOLUCIÓN RW N° 2723","04‐02‐2013","Tratamiento de Diabetes Mellitus"
"119","LEVOTIROXINA","T4 ‐ BAGÓ COMPRIMIDOS 150 mcg","F‐13668","LABORATORIO BAGÓ DE CHILE S.A.","RESOLUCIÓN N° 626","18‐02‐2013","Tratamiento de Hipotiroidismo"
"120","PRAMIPEXOL","PRAMIPEXOL DICLORHIDRATO MONOHIDRATO COMPRIMIDOS 0,25 mg","F‐18500","OPKO CHILE S.A.","RESOLUCIÓN N° 627","18‐02‐2013","Tratamiento de Parkinson"
"121","CIPROFLOXACINO","CIPROVAL COMPRIMIDOS RECUBIERTOS 500 mg","F‐5523","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 806","08‐03‐2013","Antibiótico"
"122","METOCLOPRAMIDA","ITAN COMPRIMIDOS 10 mg","F‐1163","LABORATORIOS SAVAL S.A.","RESOLUCIÓN N° 823","11‐03‐2013","Tratamiento de Trastornos
Gastrointestinales"
"123","CIPROFLOXACINO","CIPROFLOXACINO COMPRIMIDOS RECUBIERTOS 500 mg","F‐8722","CHEMOPHARMA  S.A.","RESOLUCIÓN N° 865","13‐03‐2013","Antibiótico"
"124","ATORVASTATINA","LOWDEN COMPRIMIDOS RECUBIERTOS 10 mg","F‐2231","EUROLAB LTDA.","RESOLUCIÓN N° 866","13‐03‐2013","Disminución del colesterol"
"125","ATORVASTATINA","LOWDEN COMPRIMIDOS RECUBIERTOS 20 mg","F‐2232","EUROLAB LTDA.","RESOLUCIÓN N° 867","13‐03‐2013","Disminución del colesterol"
"126","DOXICICLINA","TOLEXINE GE 100 COMPRIMIDOS 100 mg","F‐15120","LABORATORIOS D & M PHARMA LTDA.","RESOLUCIÓN N° 917","19‐03‐2013","Antibiótico"
"127","KETOPROFENO","DOLOFAR CÁPSULAS 50 mg","F‐7160","MEDIPHARM LTDA.","RESOLUCIÓN N° 932","20‐03‐2013","Analgésico / Antiinflamatorio"
"128","METFORMINA CLORHIDRATO","GLIDANIL COMPRIMIDOS RECUBIERTOS 850 mg","F‐19831","MEDIPHARM LTDA.","RESOLUCIÓN RW N° 5996","20‐03‐2013","Tratamiento de Diabetes Mellitus"
"129","MEMANTINA","MEMIKARE COMPRIMIDOS RECUBIERTOS 10 mg","F‐18186","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 1012","28‐03‐2013","Tratamiento de Alzheimer"
"130","VERAPAMILO","CARDIOLEN CÁPSULAS 80 mg","F‐3292","INSTITUTO SANITAS S.A.","RESOLUCIÓN N° 1037","01‐04‐2013","Hipertensión arterial"
"131","VALSARTÁN","ALSARKARE COMPRIMIDOS RECUBIERTOS 320 mg","F‐19192","ETEX FARMACÉUTICA LTDA.","RESOLUCIÓN N° 1073","04‐04‐2013","Hipertensión arterial"
