,,"      Listado de productos Bioequivalentes, actualizado al 29 de Febrero de 2016                             ",,,,,
19,Alzheimer,GALANTAMINA,Reminyl ER,Janseen Cilag,GALANVITAE CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 8 mg (GALANTAMINA),F-21365,GALENICUM HEALTH CHILE S.p.A.
20,Alzheimer,GALANTAMINA,Reminyl ER,Janseen Cilag,GALANVITAE  CÁPSULAS CON COMPRIMIDOS DE LIBERACIÓN PROLONGADA 16 mg,F-21366,GALENICUM HEALTH CHILE S.p.A.
21,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MEMIKARE COMPRIMIDOS RECUBIERTOS 10 mg,F-18186,ETEX FARMACÉUTICA LTDA.
22,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MEMANVITAE COMPRIMIDOS RECUBIERTOS 10 mg,F-21467,GALENICUM HEALTH CHILE S.p.A.
23,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MEMANTINA CLORHIDRATO COMPRIMIDOS RECUBIERTOS 10 mg,F-21511,LABORATORIOS RAFFO S.A.
24,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MENTIUM COMPRIMIDOS RECUBIERTOS 10 mg,F-20156,SYNTHON  CHILE LTDA.
25,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MENTIUM COMPRIMIDOS RECUBIERTOS 20 mg ,F-20157,SYNTHON  CHILE LTDA.
26,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MENTIUM COMPRIMIDOS RECUBIERTOS 10 mg ,F-21148,SYNTHON  CHILE LTDA.
27,Alzheimer,MEMANTINA,Ebixa,Lundbeck,MENTIUM COMPRIMIDOS RECUBIERTOS 20 mg,F-21149,SYNTHON  CHILE LTDA.
28,Analgésico / Antiinflamatorio,ÁCIDO MEFENÁIMICO,Tanston,Pfizer ,SICADOL FORTE COMPRIMIDOS 500 mg,F-4083,SYNTHON CHILE LTDA.
29,Analgésico / Antiinflamatorio,ÁCIDO MEFENÁIMICO,Tanston,Pfizer ,ÁCIDO MEFENÁMICO COMPRIMIDOS 500 mg,F-8701,SYNTHON CHILE LTDA.
30,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer ,ARGIUM CAPSULAS 200 mg,F-22145,LABORATORIO CHILE S.A.
31,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer ,COXDOS CÁPSULAS 200 mg,F-21624,LABORATORIOS ANDRÓMACO S.A.
32,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer ,CELECOXIB CÁPSULAS 200 mg,F-22393,LABORATORIOS ANDRÓMACO S.A.
33,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer ,ELECOX CÁPSULAS 200 mg,F-22394,LABORATORIOS ANDRÓMACO S.A.
34,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer ,GESIX CÁPSULAS 200 mg (CELECOXIB),F-21435,LABORATORIOS SAVAL S.A.
35,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer ,ARTREXIB CÁPSULAS 200 mg,F-19975,NOVARTIS CHILE S.A.
36,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer ,CELECOXIB CÁPSULAS 200 mg,F-20673,PFIZER CHILE S.A.
37,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer ,CAPSURE CÁPSULAS 200 mg,F-20674,PFIZER CHILE S.A.
38,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer ,CELECOXIB CÁPSULAS 200 mg,F-22417,PHARMATECH CHILE S.A.
39,Analgésico / Antiinflamatorio,CELECOXIB,Celebra,Pfizer ,CELEDOX CÁPSULAS  200 mg,F-21203,SYNTHON  CHILE LTDA.
40,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg,F-22279,ASCEND LABORATORIES S.p.A.
41,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-20013,ASCEND LABORATORIES SpA
42,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-20047,ASCEND LABORATORIES SpA
43,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg,F-20393,ASCEND LABORATORIES SpA
44,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-21593,ASCEND LABORATORIES SpA
45,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-21594,ASCEND LABORATORIES SpA
46,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-21632,ASCEND LABORATORIES SpA
47,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-21633,ASCEND LABORATORIES SpA
48,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPIRAC LC CÁPSULAS BLANDAS 400 mg,F-20999,CHEMOPHARMA S.A.
49,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPIRAC LC CÁPSULAS BLANDAS 600 mg ,F-21000,CHEMOPHARMA S.A.
50,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPIRAC LC CÁPSULAS BLANDAS 200 mg,F-21967,CHEMOPHARMA S.A.
51,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-18594,EUROMED CHILE S.A.
52,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS 400 mg,F-18139,LABORATORIO CHILE S.A.
53,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-18140,LABORATORIO CHILE S.A.
54,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,BEDIATIL COMPRIMIDOS 200 mg (IBUPROFENO),F-6436,LABORATORIO PASTEUR S.A.
55,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,BEDIATIL 400 COMPRIMIDOS RECUBIERTOS 400 mg (IBUPROFENO),F-16898,LABORATORIO PASTEUR S.A.
56,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS 200 mg,F-12546,LABORATORIO PASTEUR S.A.
57,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUCON COMPRIMIDOS RECUBIERTOS 400 mg,F-16738,LABORATORIOS  EUROMED CHILE S.A.
58,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-18181,LABORATORIOS  EUROMED CHILE S.A.
59,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-18182,LABORATORIOS  EUROMED CHILE S.A.
60,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-19794,LABORATORIOS ANDRÓMACO S.A.
61,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBU-6 COMPRIMIDOS RECUBIERTOS 600 mg,F-20148,LABORATORIOS ANDRÓMACO S.A.
62,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-19797,LABORATORIOS ANDRÓMACO S.A.
63,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg,F-19796,LABORATORIOS ANDRÓMACO S.A.
64,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBU-2 COMPRIMIDOS RECUBIERTOS 200 mg,F-20227,LABORATORIOS ANDRÓMACO S.A.
65,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBU-4 COMPRIMIDOS RECUBIERTOS 400 mg,F-20401,LABORATORIOS ANDRÓMACO S.A.
66,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUCON COMPRIMIDOS RECUBIERTOS 600 mg,F-16989,LABORATORIOS EUROMED CHILE S.A.
67,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,DEUCODOL COMPRIMIDOS RECUBIERTOS 600 mg,F-20011,MEDIPHARM LTDA.
68,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,DEUCODOL COMPRIMIDOS RECUBIERTOS 400 mg,F-20046,MEDIPHARM LTDA.
69,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,PYRIPED CÁPSULAS BLANDAS 400 mg,F-18548,MINTLAB  CO. S.A.
70,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-19511,MINTLAB  CO. S.A.
71,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,PYRIPED FORTE COMPRIMIDOS RECUBIERTOS 600 mg,F-10176,MINTLAB Co. S.A.
72,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-2050,MINTLAB Co. S.A.
73,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-7636,OPKO CHILE S.A.
74,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-7638,OPKO CHILE S.A.
75,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,NUROFEN EXPRESS CÁPSULAS BLANDAS 400 mg,F-19698,RECKITT BENCKISER CHILE S.A
76,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen                       2.- Brufen,1.- Reckitt Benckiser                                                                                              2.- Abbott Laboratories,NUROFEN EXPRESS CÁPSULAS BLANDAS 200 mg,F-18543,RECKITT BENCKISER CHILE S.A.
77,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis ,KETOPROFENO CÁPSULAS 50 mg,F-16049,LABORATORIO CHILE S.A.
78,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis ,FLOGOFIN CÁPSULAS 50 mg,F-8406,LABORATORIO CHILE S.A.
79,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis ,KEPRODOL CÁPSULAS 50 mg,F-15298,LABORATORIOS ANDRÓMACO S.A.
80,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis ,KETOPROFENO CÁPSULAS 50 mg,F-14024,LABORATORIOS ANDRÓMACO S.A.
81,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis ,DOLOFAR CÁPSULAS 50 mg,F-7160,MEDIPHARM LTDA.
82,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis ,KETOPROFENO CÁPSULAS 50 mg,F-9897,MINTLAB  CO. S.A.
83,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis ,RELATENE CÁPSULAS 50 mg,F-6931,MINTLAB Co. S.A.
84,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,MELIC COMPRIMIDOS 15 mg,F-13491,LABORATORIO PASTEUR S.A.
85,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,MELOXICAM COMPRIMIDOS 15 mg,F-7571,LABORATORIO PASTEUR S.A.
86,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,MELODOL COMPRIMIDOS 15 mg,F-21269,LABORATORIOS RAFFO S.A.
87,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,"MELODOL COMPRIMIDOS 7,5 mg (MELOXICAM)",F-21436,LABORATORIOS RAFFO S.A.
88,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,MELOXICAM COMPRIMIDOS 15 mg,F-14256,MINTLAB  CO. S.A.
89,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,MEXAN COMPRIMIDOS 15 mg,F-14255,MINTLAB  CO. S.A.
90,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,"MELOXICAM COMPRIMIDOS 7,5 mg",F-14258,MINTLAB  CO. S.A.
91,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,"MEXAN COMPRIMIDOS 7,5 mg",F-14257,MINTLAB  CO. S.A.
92,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,TENARON COMPRIMIDOS 15 mg,F-855,PHARMA INVESTI DE CHILE S.A.
93,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer ,EUROGESIC ADULTO FORTE COMPRIMIDOS RECUBIERTOS 550 mg,F-9785,EUROLAB LTDA.
94,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer ,EUROGESIC ADULTO COMPRIMIDOS RECUBIERTOS 275 mg,F-9784,EUROLAB LTDA.
95,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer ,NAPROXENO SÓDICO COMPRIMIDOS RECUBIERTOS 550 mg,F-13868,LABORATORIOS ANDRÓMACO S.A.
96,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer ,TRIOX N.F. FORTE COMPRIMIDOS RECUBIERTOS 550 mg,F-10175,LABORATORIOS ANDRÓMACO S.A.
97,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer ,ÁCIDO ACETIL SALICÍLICO COMPRIMIDOS 500 mg,F-6844,MINTLAB  CO. S.A.
98,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer ,HASSAPIRIN COMPRIMIDOS 500 mg.,F-6909,MINTLAB  CO. S.A.
99,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer ,HASSAPIRIN INFANTIL COMPRIMIDOS 100 mg,F-1984,MINTLAB  CO. S.A.
100,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer ,ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 100 mg,F-1444,MINTLAB  CO. S.A.
101,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,PARACETAMOL COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA  665 mg,F-22376,ASCEND LABORATORIES S.p.A.
102,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,PARACETAMOL COMPRIMIDOS RECUBIERTOS DE LIBERACION PROLONGADA 665 mg,F-22375,ASCEND LABORATORIES S.p.A.
103,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,FOCUS 500 COMPRIMIDOS  500 mg,F-18281,BAYER S.A.
104,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,PANAGESIC COMPRIMIDOS 500 mg,F-3399,CHEMOPHARMA  S.A.
105,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,PARACETAMOL COMPRIMIDOS 500 mg,F-4001,LABORATORIO CHILE S.A.
106,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,KITADOL COMPRIMIDOS 500 mg,F-494,LABORATORIO CHILE S.A.
107,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,PARACETAMOL COMPRIMIDOS 500 mg,F-17618,LABORATORIO MAVER S.A.
108,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,TAPSIN PURO SIN CAFEÍNA COMPRIMIDOS 500 mg,F-16129,LABORATORIO MAVER S.A.
109,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,PARACETAMOL COMPRIMIDOS 500 mg,F-22074,LABORATORIO MAVER S.A.
110,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,TAPSIN PURO SIN CAFEÍNA COMPRIMIDOS 500 mg,F-22075,LABORATORIO MAVER S.A.
111,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,SINFLU COMPRIMIDOS 500 mg,F-11672,LABORATORIO VALMA S.A.
112,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,HEADOL COMPRIMIDOS 500 mg,F-15246,LABORATORIOS  MDK S.A.
113,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,PARACETAMOL COMPRIMIDOS 500 mg,F-8660,LABORATORIOS ANDRÓMACO S.A.
114,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,COTIBIN COMPRIMIDOS 500 mg,F-2634,LABORATORIOS ANDRÓMACO S.A.
115,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,GESIDOL COMPRIMIDOS 500 mg,F-19506,MEDIPHARM LTDA.
116,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,GESIDOL COMPRIMIDOS 500 mg,F-19078,MEDIPHARM LTDA.
117,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,GENIOL COMPRIMIDOS 500 mg,F-6908,MINTLAB  CO. S.A.
118,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,PARACETAMOL COMPRIMIDOS 500 mg,F-154,MINTLAB Co. S.A.
119,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,PARACETAMOL COMPRIMIDOS 500 mg ,F-20020,OPKO CHILE S.A.
120,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,IMITIMOL COMPRIMIDOS 1 g,F-21854,PHARMA INVESTI DE CHILE S.A.
121,Analgésico / Antipirético,PARACETAMOL,Zolben ,Novartis ,SUPRACALM COMPRIMIDOS 1 g,F-7782,TECNOFARMA S.A.
122,Ansiedad,ALPRAZOLAM,Zotran,Pfizer ,"TRANQUINAL COMPRIMIDOS 0,5 mg",F-9663,LABORATORIO BAGÓ DE CHILE S.A.
123,Ansiedad,ALPRAZOLAM,Zotran,Pfizer ,"ALPRAZOLAM COMPRIMIDOS 0,5 mg",F-8314,LABORATORIO CHILE S.A.
124,Ansiedad,ALPRAZOLAM,Zotran,Pfizer ,"ALPRAZOLAM COMPRIMIDOS 0,5 mg",F-6506,LABORATORIOS ANDRÓMACO S.A.
125,Ansiedad,ALPRAZOLAM,Zotran,Pfizer ,ADAX COMPRIMIDOS 1 mg,F-5509,LABORATORIOS SAVAL S.A.
126,Ansiedad,ALPRAZOLAM,Zotran,Pfizer ,"ADAX COMPRIMIDOS 0,5 mg",F-5511,LABORATORIOS SAVAL S.A.
127,Ansiedad,ALPRAZOLAM,Zotran,Pfizer ,"ALPRAZOLAM COMPRIMIDOS 0,25 mg",F-9867,MINTLAB  CO. S.A.
128,Ansiedad,ALPRAZOLAM,Zotran,Pfizer ,"ALPRAZOLAM COMPRIMIDOS 0,5 mg",F-9868,MINTLAB  CO. S.A.
129,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,"CLOZANIL COMPRIMIDOS 0,5 mg",F-504,INSTITUTO SANITAS S.A.
130,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,CLOZANIL COMPRIMIDOS 2 mg,F-505,INSTITUTO SANITAS S.A.
131,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,CLONAZEPAM COMPRIMIDOS 0.5 mg,F-15579,INTERPHARMA S.A.
132,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,CLONAZEPAM COMPRIMIDOS 2 mg,F-15580,INTERPHARMA S.A.
133,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,"NEURYL COMPRIMIDOS 0,5 mg",F-17409,LABORATORIO BAGÓ DE CHILE S.A.
134,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,NEURYL COMPRIMIDOS 2 mg,F-17410,LABORATORIO BAGÓ DE CHILE S.A.
135,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,NEURYL COMPRIMIDOS 2 mg,F-20004,LABORATORIO BAGÓ DE CHILE S.A.
136,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,CLONAZEPAM COMPRIMIDOS 2 mg,F-13247,LABORATORIO CHILE S.A.
137,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,"CLONAZEPAM COMPRIMIDOS 0,5 mg",F-13246,LABORATORIO CHILE S.A.
138,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,CLONAPAM COMPRIMIDOS 2 mg ,F-8374,LABORATORIO CHILE S.A.
139,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,"CLONAPAM COMPRIMIDOS 0,5 mg",F-8373,LABORATORIO CHILE S.A.
140,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,CLONAZEPAM COMPRIMIDOS 2 mg,F-13557,MINTLAB  CO. S.A.
141,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,HISTROL COMPRIMIDOS 2 mg,F-13559,MINTLAB  CO. S.A.
142,Ansiedad,CLONAZEPAM,Ravotril ,Roche ,"HISTROL COMPRIMIDOS 0,5 mg",F-13558,MINTLAB  CO. S.A.
