"Listado de productos Bioequivalentes, actualizado al 31 de Diciembre de 2015",,,,,,,
N°,Uso / Tratamiento,Principio Activo,Producto de referencia,Titular,Producto,Registro,Titular
47,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-18140,LABORATORIO CHILE S.A.
48,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,BEDIATIL COMPRIMIDOS 200 mg (IBUPROFENO),F-6436,LABORATORIO PASTEUR S.A.
49,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,BEDIATIL 400 COMPRIMIDOS RECUBIERTOS 400 mg (IBUPROFENO),F-16898,LABORATORIO PASTEUR S.A.
50,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS 200 mg,F-12546,LABORATORIO PASTEUR S.A.
51,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUCON COMPRIMIDOS RECUBIERTOS 400 mg,F-16738,LABORATORIOS  EUROMED CHILE S.A.
52,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-18181,LABORATORIOS  EUROMED CHILE S.A.
53,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-18182,LABORATORIOS  EUROMED CHILE S.A.
54,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-19794,LABORATORIOS ANDRÓMACO S.A.
55,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBU-6 COMPRIMIDOS RECUBIERTOS 600 mg,F-20148,LABORATORIOS ANDRÓMACO S.A.
56,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-19797,LABORATORIOS ANDRÓMACO S.A.
57,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg,F-19796,LABORATORIOS ANDRÓMACO S.A.
58,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBU-2 COMPRIMIDOS RECUBIERTOS 200 mg,F-20227,LABORATORIOS ANDRÓMACO S.A.
59,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBU-4 COMPRIMIDOS RECUBIERTOS 400 mg,F-20401,LABORATORIOS ANDRÓMACO S.A.
60,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUCON COMPRIMIDOS RECUBIERTOS 600 mg,F-16989,LABORATORIOS EUROMED CHILE S.A.
61,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,DEUCODOL COMPRIMIDOS RECUBIERTOS 600 mg,F-20011,MEDIPHARM LTDA.
62,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,DEUCODOL COMPRIMIDOS RECUBIERTOS 400 mg,F-20046,MEDIPHARM LTDA.
63,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,PYRIPED CÁPSULAS BLANDAS 400 mg,F-18548,MINTLAB CO. S.A.
64,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-19511,MINTLAB CO. S.A.
65,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,PYRIPED FORTE COMPRIMIDOS RECUBIERTOS 600 mg,F-10176,MINTLAB Co. S.A.
66,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-2050,MINTLAB Co. S.A.
67,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 400 mg,F-7636,OPKO CHILE S.A.
68,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,IBUPROFENO COMPRIMIDOS RECUBIERTOS 600 mg,F-7638,OPKO CHILE S.A.
69,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,NUROFEN EXPRESS CÁPSULAS BLANDAS 400 mg,F-19698,RECKITT BENCKISER CHILE S.A
70,Analgésico / Antiinflamatorio,IBUPROFENO,1.- Nurofen 2.- Brufen,1.- Reckitt Benckiser 2.- Abbott Laboratories,NUROFEN EXPRESS CÁPSULAS BLANDAS 200 mg,F-18543,RECKITT BENCKISER CHILE S.A.
71,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,KETOPROFENO CÁPSULAS 50 mg,F-16049,LABORATORIO CHILE S.A.
72,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,FLOGOFIN CÁPSULAS 50 mg,F-8406,LABORATORIO CHILE S.A.
73,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,KEPRODOL CÁPSULAS 50 mg,F-15298,LABORATORIOS ANDRÓMACO S.A.
74,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,KETOPROFENO CÁPSULAS 50 mg,F-14024,LABORATORIOS ANDRÓMACO S.A.
75,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,DOLOFAR CÁPSULAS 50 mg,F-7160,MEDIPHARM LTDA.
76,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,KETOPROFENO CÁPSULAS 50 mg,F-9897,MINTLAB CO. S.A.
77,Analgésico / Antiinflamatorio,KETOPROFENO,Profenid,Sanofi-Aventis,RELATENE CÁPSULAS 50 mg,F-6931,MINTLAB Co. S.A.
78,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,MELODOL COMPRIMIDOS 15 mg,F-21269,LABORATORIOS RAFFO S.A.
79,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,"MELODOL COMPRIMIDOS 7,5 mg (MELOXICAM)",F-21436,LABORATORIOS RAFFO S.A.
80,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,MELOXICAM COMPRIMIDOS 15 mg,F-14256,MINTLAB CO. S.A.
81,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,MEXAN COMPRIMIDOS 15 mg,F-14255,MINTLAB CO. S.A.
82,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,"MELOXICAM COMPRIMIDOS 7,5 mg",F-14258,MINTLAB CO. S.A.
83,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,"MEXAN COMPRIMIDOS 7,5 mg",F-14257,MINTLAB CO. S.A.
84,Analgésico / Antiinflamatorio,MELOXICAM,Mobex,boehringer Ingelheim,TENARON COMPRIMIDOS 15 mg,F-855,PHARMA INVESTI DE CHILE S.A.
85,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer,"EUROGESIC ADULTO FORTE COMPRIMIDOS RECUBIERTOS
550 mg",F-9785,EUROLAB LTDA.
86,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer,EUROGESIC ADULTO COMPRIMIDOS RECUBIERTOS 275 mg,F-9784,EUROLAB LTDA.
87,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer,"NAPROXENO SÓDICO COMPRIMIDOS RECUBIERTOS 550
mg",F-13868,LABORATORIOS ANDRÓMACO S.A.
88,Analgésico / Antiinflamatorio,NAPROXENO,Fanax,Bayer,TRIOX N.F. FORTE COMPRIMIDOS RECUBIERTOS 550 mg,F-10175,LABORATORIOS ANDRÓMACO S.A.
89,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer,ÁCIDO ACETIL SALICÍLICO COMPRIMIDOS 500 mg,F-6844,MINTLAB CO. S.A.
90,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer,HASSAPIRIN COMPRIMIDOS 500 mg.,F-6909,MINTLAB CO. S.A.
91,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer,HASSAPIRIN INFANTIL COMPRIMIDOS 100 mg,F-1984,MINTLAB CO. S.A.
92,Analgésico / Antipirético,ÁCIDO ACETILSALICÍLICO,Aspirina,Bayer,ÁCIDO ACETILSALICÍLICO COMPRIMIDOS 100 mg,F-1444,MINTLAB CO. S.A.
93,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,FOCUS 500 COMPRIMIDOS 500 mg,F-18281,BAYER S.A.
94,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PANAGESIC COMPRIMIDOS 500 mg,F-3399,CHEMOPHARMA S.A.
95,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-4001,LABORATORIO CHILE S.A.
96,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,KITADOL COMPRIMIDOS 500 mg,F-494,LABORATORIO CHILE S.A.
97,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-17618,LABORATORIO MAVER S.A.
98,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,TAPSIN PURO SIN CAFEÍNA COMPRIMIDOS 500 mg,F-16129,LABORATORIO MAVER S.A.
99,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-22074,LABORATORIO MAVER S.A.
100,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,TAPSIN PURO SIN CAFEÍNA COMPRIMIDOS 500 mg,F-22075,LABORATORIO MAVER S.A.
101,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,SINFLU COMPRIMIDOS 500 mg,F-11672,LABORATORIO VALMA S.A.
102,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,HEADOL COMPRIMIDOS 500 mg,F-15246,LABORATORIOS MDK S.A.
103,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-8660,LABORATORIOS ANDRÓMACO S.A.
104,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,COTIBIN COMPRIMIDOS 500 mg,F-2634,LABORATORIOS ANDRÓMACO S.A.
105,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,GESIDOL COMPRIMIDOS 500 mg,F-19506,MEDIPHARM LTDA.
106,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,GESIDOL COMPRIMIDOS 500 mg,F-19078,MEDIPHARM LTDA.
107,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,GENIOL COMPRIMIDOS 500 mg,F-6908,MINTLAB CO. S.A.
108,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-154,MINTLAB Co. S.A.
109,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,PARACETAMOL COMPRIMIDOS 500 mg,F-20020,OPKO CHILE S.A.
110,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,IMITIMOL COMPRIMIDOS 1 g,F-21854,PHARMA INVESTI DE CHILE S.A.
111,Analgésico / Antipirético,PARACETAMOL,Zolben,Novartis,SUPRACALM COMPRIMIDOS 1 g,F-7782,TECNOFARMA S.A.
112,Ansiedad,ALPRAZOLAM,Zotran,Pfizer,"TRANQUINAL COMPRIMIDOS 0,5 mg",F-9663,LABORATORIO BAGÓ DE CHILE S.A.
113,Ansiedad,ALPRAZOLAM,Zotran,Pfizer,"ALPRAZOLAM COMPRIMIDOS 0,5 mg",F-6506,LABORATORIOS ANDRÓMACO S.A.
114,Ansiedad,ALPRAZOLAM,Zotran,Pfizer,ADAX COMPRIMIDOS 1 mg,F-5509,LABORATORIOS SAVAL S.A.
115,Ansiedad,ALPRAZOLAM,Zotran,Pfizer,"ADAX COMPRIMIDOS 0,5 mg",F-5511,LABORATORIOS SAVAL S.A.
116,Ansiedad,ALPRAZOLAM,Zotran,Pfizer,"ALPRAZOLAM COMPRIMIDOS 0,25 mg",F-9867,MINTLAB CO. S.A.
117,Ansiedad,ALPRAZOLAM,Zotran,Pfizer,"ALPRAZOLAM COMPRIMIDOS 0,5 mg",F-9868,MINTLAB CO. S.A.
118,Ansiedad,CLONAZEPAM,Ravotril,Roche,"CLOZANIL COMPRIMIDOS 0,5 mg",F-504,INSTITUTO SANITAS S.A.
119,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLOZANIL COMPRIMIDOS 2 mg,F-505,INSTITUTO SANITAS S.A.
120,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLONAZEPAM COMPRIMIDOS 0.5 mg,F-15579,INTERPHARMA S.A.
121,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLONAZEPAM COMPRIMIDOS 2 mg,F-15580,INTERPHARMA S.A.
122,Ansiedad,CLONAZEPAM,Ravotril,Roche,"NEURYL COMPRIMIDOS 0,5 mg",F-17409,LABORATORIO BAGÓ DE CHILE S.A.
123,Ansiedad,CLONAZEPAM,Ravotril,Roche,NEURYL COMPRIMIDOS 2 mg,F-17410,LABORATORIO BAGÓ DE CHILE S.A.
124,Ansiedad,CLONAZEPAM,Ravotril,Roche,NEURYL COMPRIMIDOS 2 mg,F-20004,LABORATORIO BAGÓ DE CHILE S.A.
125,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLONAZEPAM COMPRIMIDOS 2 mg,F-13247,LABORATORIO CHILE S.A.
126,Ansiedad,CLONAZEPAM,Ravotril,Roche,"CLONAZEPAM COMPRIMIDOS 0,5 mg",F-13246,LABORATORIO CHILE S.A.
127,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLONAPAM COMPRIMIDOS 2 mg,F-8374,LABORATORIO CHILE S.A.
128,Ansiedad,CLONAZEPAM,Ravotril,Roche,"CLONAPAM COMPRIMIDOS 0,5 mg",F-8373,LABORATORIO CHILE S.A.
129,Ansiedad,CLONAZEPAM,Ravotril,Roche,CLONAZEPAM COMPRIMIDOS 2 mg,F-13557,MINTLAB CO. S.A.
130,Ansiedad,CLONAZEPAM,Ravotril,Roche,HISTROL COMPRIMIDOS 2 mg,F-13559,MINTLAB CO. S.A.
131,Ansiedad,CLONAZEPAM,Ravotril,Roche,"HISTROL COMPRIMIDOS 0,5 mg",F-13558,MINTLAB CO. S.A.
132,Ansiedad,CLONAZEPAM,Ravotril,Roche,"CLONAZEPAM COMPRIMIDOS 0,5 mg",F-13556,MINTLAB CO. S.A.
133,Ansiedad,CLONAZEPAM,Ravotril,Roche,"BEJOWA COMPRIMIDOS 0,5 mg",F-20240,SANOFI-AVENTIS DE CHILE S.A.
134,Ansiedad,CLONAZEPAM,Ravotril,Roche,BEJOWA COMPRIMIDOS 2 mg,F-20239,SANOFI-AVENTIS DE CHILE S.A.
135,Ansiedad,CLONAZEPAM,Ravotril,Roche,"BEJOWA COMPRIMIDOS 0,5 mg",F-20241,SANOFI-AVENTIS DE CHILE S.A.
136,Ansiedad,CLONAZEPAM,Ravotril,Roche,BEJOWA COMPRIMIDOS 2 mg,F-20242,SANOFI-AVENTIS DE CHILE S.A.
137,Ansiedad,DIAZEPAM,Valium,Roche,DIAZEPAM COMPRIMIDOS 10 mg,F-3374,MINTLAB CO. S.A.
138,Ansiedad,LORAZEPAM,Amparax,Wyeth,LORAZEPAM COMPRIMIDOS 2 mg,F-3983,LABORATORIO CHILE S.A.
139,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,Clopidogrel comprimidos recubiertos 300 mg,F-21739,ASCEND LABORATORIES SpA
140,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,LYVELSA COMPRIMIDOS RECUBIERTOS 75 mg (CLOPIDOGREL),F-21565,BAYER S.A.
141,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,PICLOKARE COMPRIMIDOS RECUBIERTOS 75 mg,F-17986,ETEX FARMACÉUTICA LTDA.
142,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,CLOPIVITAE COMPRIMIDOS RECUBIERTOS 75mg,F-22129,GALENICUM HEALTH CHILE S.p.A.
143,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,CLOTROMBIX COMPRIMIDOS RECUBIERTOS 75 mg,F-19113,NOVARTIS CHILE S.A.
144,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,CLENTEL COMPRIMIDOS RECUBIERTOS 75 mg,F-15481,PHARMA INVESTI DE CHILE S.A.
145,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,ISKIMIL COMPRIMIDOS RECUBIERTOS 75 mg,F-22351,PHARMA INVESTI DE CHILE S.A.
146,Antiagregante plaquetario,CLOPIDOGREL,Plavix,Sanofi-Aventis,FLUYET COMPRIMIDOS RECUBIERTOS 75 mg,F-20812,PHARMAVITA S.A.
